id	name	era	year	tags	description
21	フランク王国	中世	481	["王国", "政治"]	481年に建国された西欧の強国。カール大帝の下で最盛期を迎え、後の国家形成の基礎となった。
22	聖徳太子	古代	574	["政治", "仏教"]	574年生まれの摂政。冠位制度や遣隋使派遣など、中央集権化と文化振興に尽力した。
23	遣隋使	古代	600	["外交", "文化"]	600年から派遣された使節団。先進文化や制度を学ぶため、危険な航海を経て大陸へ渡った。
24	冠位十二階	古代	603	["政治改革", "制度"]	603年に制定された身分序列制度。才能や功績に基づく評価により、豪族支配の改革を図った。
25	憲法十七条	古代	604	["政治改革", "法律"]	604年に制定された官人の心得。和の精神や仏法の尊重など、倫理的な規範を示した。
26	イスラム帝国の拡大	中世	632	["帝国", "宗教", "軍事"]	632年から急速に進んだ領土拡張。アラビア半島から西アジア・北アフリカまで広大な地域を支配した。
27	大化の改新	古代	645	["政治改革", "変革"]	645年に始まった抜本的な体制刷新。公地公民制や班田収授法など、中央集権化を推進した。
28	白村江の戦い	古代	663	["戦争", "外交"]	663年に朝鮮半島で発生した敗北。唐・新羅連合軍に大敗し、対外政策の転換を余儀なくされた。
29	壬申の乱	古代	672	["内乱", "権力闘争"]	672年に勃発した皇位継承をめぐる大規模な内乱。天智天皇の死後、後継者争いが激化した。
30	大宝律令	古代	701	["法律", "制度"]	701年に施行された法典。唐の制度を参考に、刑罰規定や行政組織を体系化した。
31	平城京	古代	710	["遷都", "都市"]	710年に造営された都城。唐の長安を模した碁盤目状の街路が特徴で、政治・文化の中心となった。
32	奈良時代	古代	710	["時代", "仏教"]	710年から続いた時代区分。仏教が国家的に保護され、東大寺大仏の造立など大規模事業が行われた。
33	レコンキスタ	中世	718	["戦争", "スペイン", "宗教"]	718年から始まったイベリア半島の再征服運動。キリスト教勢力が約800年かけて領土を回復した。
34	カール大帝	中世	742	["人物", "王", "政治"]	742年生まれの統治者。西欧の広大な領域を統一し、800年に皇帝として戴冠された。
35	平安京	古代	794	["遷都", "都市"]	794年に遷都された新都。千年以上にわたり首都として機能し、貴族文化が開花した。
36	封建制度	中世	800	["制度", "社会"]	800年頃に確立した主従関係に基づく社会体制。土地の授受と軍事奉仕により、地方分権的な統治が行われた。
37	荘園制	中世	800	["経済", "制度"]	800年頃から発達した私的な土地所有形態。不輸不入の権により、中央の支配から独立した領域が拡大した。
38	摂関政治	中世	858	["政治", "藤原氏"]	858年から本格化した藤原氏による政権運営。天皇の外戚として摂政・関白に就任し、実権を掌握した。
39	教皇権の拡大	中世	1000	["宗教", "政治"]	1000年頃から顕著になった宗教的権威の強化。世俗権力への介入を強め、叙任権闘争などが発生した。
40	東西教会の分裂	中世	1054	["宗教", "分裂"]	1054年に決定的となった教会組織の分離。神学論争や典礼の相違により、ローマとコンスタンティノープルが相互破門した。
41	ノルマン征服	中世	1066	["戦争", "イギリス"]	1066年にウィリアムがブリテン島を制圧した出来事。ヘースティングズでの勝利により、新たな王朝が成立した。
42	カノッサの屈辱	中世	1077	["事件", "宗教", "政治"]	1077年に皇帝が教皇に謝罪した事件。叙任権をめぐる対立で、雪中に3日間立ち続けて許しを請うた。
43	院政	中世	1086	["政治", "変革"]	1086年から始まった退位後の天皇による統治。上皇として実権を握り、摂関家の影響力を抑制した。
44	十字軍	中世	1096	["戦争", "宗教"]	1096年から断続的に派遣された軍事遠征。聖地奪還を掲げて東方へ向かい、長期にわたる衝突が続いた。
45	スコラ哲学	中世	1100	["哲学", "宗教"]	1100年頃から発展した神学と理性の融合を目指す学問。アリストテレスの論理を用いて信仰を論証した。
46	平清盛	中世	1118	["人物", "武士"]	1118年生まれの武家の棟梁。武士として初めて太政大臣に就任し、日宋貿易で財を成した。
47	源頼朝	中世	1147	["人物", "武士"]	1147年生まれの武家の棟梁。1185年に壇ノ浦で勝利し、鎌倉に武家政権を樹立した。
48	鎌倉幕府	中世	1185	["政治", "武家政権"]	1185年に成立した最初の本格的武家政権。守護・地頭を設置し、東国を中心に支配体制を確立した。
49	執権政治	中世	1203	["政治", "北条氏"]	1203年から始まった北条氏による実質的な統治。将軍を補佐する役職に就き、幕府の実権を握った。
50	モンゴル帝国の拡大	中世	1206	["帝国", "軍事", "東方"]	1206年にチンギス・ハンが統一を果たした後、急速に領土を拡張。ユーラシア大陸の大部分を支配下に置いた。
51	マグナ・カルタ	中世	1215	["法律", "人権", "政治"]	1215年にジョン王が承認した憲章。貴族の権利を保障し、王権の制限を明文化した歴史的文書となった。
52	マグナカルタ	中世	1215	["法律", "民主主義", "イギリス"]	1215年に制定された君主の権限を制限する文書。不当な逮捕や課税の禁止など、基本的権利を保障した。
53	承久の乱	中世	1221	["戦争", "幕府vs朝廷"]	1221年に後鳥羽上皇が起こした武家政権への反乱。幕府軍が勝利し、朝廷に対する優位が確立された。
54	トマス・アクィナス	中世	1225	["人物", "哲学", "神学"]	1225年頃生まれの神学者。アリストテレスの理性論と信仰を統合し、スコラ学の大成者となった。
55	御成敗式目	中世	1232	["法律", "武家法"]	1232年に制定された武家社会の法典。北条泰時が編纂し、武士の慣習や道理に基づく裁判基準を示した。
56	元寇	中世	1274	["戦争", "外敵"]	1274年と1281年の二度にわたる襲来。フビライ・ハンの命により大軍が九州に迫ったが、暴風雨もあり撃退された。
57	後醍醐天皇	中世	1288	["人物", "政治"]	1288年生まれの天皇。武家政権の打倒を目指して挙兵し、一時的に親政を実現した。
58	ルネサンス	近世	1300	["文化", "芸術"]	1300年頃にイタリアで始まった文化運動。古代の学芸復興を掲げ、人間中心の芸術や学問が開花した。
59	足利尊氏	中世	1305	["人物", "武士"]	1305年生まれの武将。後醍醐天皇を奉じて挙兵したが、後に離反して室町幕府を開いた。
60	建武の新政	中世	1333	["政治改革", "短命"]	1333年に後醍醐天皇が始めた親政。公家中心の統治を目指したが、武士の不満を招き短期間で崩壊した。
61	南北朝時代	中世	1336	["内乱", "分裂"]	1336年から約60年続いた朝廷分裂期。京都と吉野にそれぞれ朝廷が並立し、全国で抗争が続いた。
62	室町幕府	中世	1336	["政治", "武家政権"]	1336年に足利尊氏が開いた武家政権。京都に幕府を置き、守護大名の連合体として機能した。
63	百年戦争	中世	1337	["戦争", "イギリス", "フランス"]	1337年から断続的に続いた英仏間の長期紛争。王位継承権や領土をめぐり、両国が激しく対立した。
64	黒死病（ペスト）	中世	1347	["疫病", "社会"]	1347年にヨーロッパで大流行した疫病。人口の3分の1が死亡し、社会経済に壊滅的な打撃を与えた。
65	足利義満	中世	1358	["人物", "文化"]	1358年生まれの第3代将軍。南北朝を統一し、金閣寺を建立するなど文化振興にも力を注いだ。
66	教会分裂	中世	1378	["宗教", "分裂"]	1378年から約40年続いた教皇の並立状態。ローマとアヴィニョンに複数の教皇が立ち、権威が失墜した。
67	ジャンヌ・ダルク	中世	1412	["人物", "戦争", "宗教"]	1412年生まれの農民出身の少女。神の啓示を受けたとしてオルレアンを解放し、王太子の戴冠を実現した。
68	大航海時代	近世	1415	["探検", "経済", "植民地"]	1415年頃から始まった海洋探検の時代。羅針盤や航海技術の発達により、未知の航路開拓が進んだ。
69	コロンブス	近世	1451	["人物", "探検家"]	1451年生まれの航海者。1492年にスペイン王の支援を受けて西回り航路を探索し、新大陸に到達した。
70	レオナルド・ダ・ヴィンチ	近世	1452	["人物", "芸術", "科学"]	1452年生まれの万能人。絵画・彫刻・建築・科学など多方面で卓越した才能を発揮した。
71	ヴァスコ・ダ・ガマ	近世	1460	["人物", "探検家"]	1460年頃生まれのポルトガルの航海者。1498年に喜望峰経由でインドへの海路を開拓した。
72	応仁の乱	中世	1467	["戦争", "混乱"]	1467年に京都で勃発した大規模な内乱。将軍継承と守護大名の対立が絡み、11年間にわたり戦乱が続いた。
73	戦国時代	中世	1467	["時代", "戦乱"]	1467年から約100年続いた群雄割拠の時代。守護大名や国人が各地で抗争し、下剋上が横行した。
74	ミケランジェロ	近世	1475	["人物", "芸術"]	1475年生まれの彫刻家・画家。システィーナ礼拝堂の天井画やダヴィデ像など、不朽の名作を残した。
75	マゼラン	近世	1480	["人物", "探検家"]	1480年頃生まれの航海者。1519年にスペイン王の支援を受けて世界周航に出発し、地球が球体であることを証明した。
76	マルティン・ルター	近世	1483	["人物", "宗教", "改革"]	1483年生まれのドイツの修道士。1517年に95カ条の論題を発表し、教会批判の口火を切った。
77	絶対王政	近世	1500	["政治", "制度"]	1500年頃から確立した強大な王権による統治形態。常備軍と官僚制を基盤に、中央集権的な支配を実現した。
78	重商主義	近世	1500	["経済", "政策"]	1500年頃から広まった経済政策。貿易により貴金属を蓄積し、国富を増大させることを目指した。
79	カルヴァン	近世	1509	["人物", "宗教", "改革"]	1509年生まれのフランス出身の改革者。予定説を唱え、ジュネーヴで厳格な信仰共同体を築いた。
80	宗教改革	近世	1517	["宗教", "改革"]	1517年にルターが95カ条の論題を発表したことに始まる運動。教会の腐敗を批判し、聖書中心主義を唱えた。
81	織田信長	中世	1534	["人物", "統一"]	1534年生まれの戦国大名。桶狭間や長篠での勝利により勢力を拡大し、天下統一の基礎を築いた。
82	イエズス会	近世	1534	["宗教", "布教", "日本関連"]	1534年にイグナティウス・ロヨラが創設した修道会。海外伝道に尽力し、フランシスコ・ザビエルが来日した。
83	豊臣秀吉	中世	1537	["人物", "統一"]	1537年生まれの武将。信長の後を継いで天下統一を達成し、太閤検地や刀狩を実施した。
84	徳川家康	中世	1543	["人物", "統一"]	1543年生まれの武将。関ヶ原で勝利して覇権を握り、1603年に征夷大将軍となり江戸幕府を開いた。
85	科学革命	近世	1543	["科学", "革新"]	1543年のコペルニクス『天球回転論』に始まる知的変革。観察と実験に基づく自然探究が進展した。
86	対抗宗教改革	近世	1545	["宗教", "カトリック"]	1545年のトリエント公会議から本格化したカトリック教会の自己改革。イエズス会の活動などで巻き返しを図った。
87	ガリレオ・ガリレイ	近世	1564	["人物", "科学"]	1564年生まれのイタリアの科学者。望遠鏡で天体を観測し、地動説を支持したため宗教裁判にかけられた。
88	関ヶ原の戦い	近世	1600	["戦争", "転換点"]	1600年に勃発した天下分け目の合戦。徳川家康率いる東軍が石田三成らの西軍を破り、覇権を確立した。
89	江戸幕府	近世	1603	["政治", "武家政権"]	1603年に徳川家康が開いた武家政権。260年以上にわたり泰平の世を実現し、独自の文化を育んだ。
90	幕藩体制	近世	1603	["政治", "制度"]	1603年に確立した将軍と大名による分権的統治システム。参勤交代などにより、大名を統制した。
91	三十年戦争	近世	1618	["戦争", "宗教", "ドイツ"]	1618年から1648年まで続いたヨーロッパの大規模紛争。宗教対立と領土争いが絡み、多大な犠牲を出した。
92	参勤交代	近世	1635	["政治", "統制"]	1635年に制度化された大名の江戸往来義務。1年おきに江戸と領地を行き来させ、財政負担と人質により統制した。
93	島原の乱	近世	1637	["一揆", "宗教"]	1637年に九州で発生した大規模な一揆。重税と宗教弾圧への不満が爆発し、幕府軍が鎮圧に苦戦した。
94	ルイ14世	近世	1638	["人物", "王", "絶対王政"]	1638年生まれのフランス王。72年間在位し、ヴェルサイユ宮殿を建設して絶対王政の頂点を極めた。
95	太陽王	近世	1638	["人物", "王", "フランス"]	1638年生まれのルイ14世の異名。「朕は国家なり」の言葉で知られ、豪華な宮廷文化を築いた。
96	鎖国	近世	1639	["外交", "政策"]	1639年に完成したポルトガル船来航禁止を含む対外政策。長崎での限定的な貿易のみを許可し、キリスト教の流入を防いだ。
97	ニュートン	近世	1643	["人物", "科学"]	1643年生まれのイギリスの科学者。万有引力の法則を発見し、『プリンキピア』で運動法則を体系化した。
98	徳川綱吉	近世	1646	["人物", "政治"]	1646年生まれの第5代将軍。儒学を奨励し、生類憐みの令を発して動物保護を推進した。
99	ウェストファリア条約	近世	1648	["条約", "平和", "主権"]	1648年に締結された三十年戦争の講和条約。主権国家体制を確立し、近代国際秩序の基礎となった。
100	啓蒙思想	近世	1650	["思想", "哲学"]	1650年頃から発展した理性重視の思潮。人間の理性により偏見や迷信を打破し、社会進歩を目指した。
101	徳川吉宗	近世	1684	["人物", "改革者"]	1684年生まれの第8代将軍。享保の改革を断行し、財政再建と質素倹約を推進した。
102	生類憐みの令	近世	1685	["政策", "法律"]	1685年から発令された動物保護令。特に犬の保護が徹底され、庶民生活に大きな影響を与えた。
103	モンテスキュー	近世	1689	["人物", "思想家", "三権分立"]	1689年生まれのフランスの思想家。『法の精神』で三権分立論を展開し、立憲政治の理論的基礎を築いた。
104	ヴォルテール	近世	1694	["人物", "思想家"]	1694年生まれのフランスの思想家。言論の自由を擁護し、不寛容や専制を鋭く批判した。
105	ルソー	近世	1712	["人物", "思想家"]	1712年生まれのフランスの思想家。『社会契約論』で人民主権を唱え、フランス革命に思想的影響を与えた。
106	享保の改革	近世	1716	["政治改革", "財政"]	1716年から徳川吉宗が推進した幕政改革。新田開発や上米の制などにより、財政再建を図った。
107	田沼意次	近世	1719	["人物", "経済"]	1719年生まれの老中。商業を重視した政策を展開し、株仲間の公認などで財政収入の増加を図った。
108	松平定信	近世	1758	["人物", "改革者"]	1758年生まれの老中。寛政の改革を主導し、田沼時代の政策を否定して緊縮財政を推進した。
109	産業革命	近代	1760	["経済", "技術革新"]	1760年頃にイギリスで始まった技術革新と生産様式の変革。蒸気機関の発明により、工場制機械工業が発展した。
110	ナポレオン	近代	1769	["人物", "軍事", "帝国"]	1769年生まれのコルシカ島出身の軍人。軍事的天才として頭角を現し、1804年に皇帝に即位した。
111	蒸気機関	近代	1769	["技術", "産業"]	1769年にワットが改良した動力装置。石炭を燃料とする効率的な機械により、工業化が加速した。
112	アメリカ独立革命	近代	1775	["革命", "独立"]	1775年に始まった13植民地の独立闘争。1776年に独立宣言を発し、共和制国家を樹立した。
113	寛政の改革	近世	1787	["政治改革", "財政"]	1787年から松平定信が実施した幕政改革。朱子学以外の学問を禁じ、風紀の引き締めを図った。
114	フランス革命	近代	1789	["革命", "市民革命"]	1789年にバスティーユ襲撃で幕を開けた大変革。人権宣言を発し、封建制度と絶対王政を打倒した。
115	水野忠邦	近世	1794	["人物", "改革者"]	1794年生まれの老中。天保の改革を主導し、物価統制や倹約令を発したが、強引な手法で失敗した。
116	資本主義の発展	近代	1800	["経済", "社会"]	1800年頃から本格化した市場経済システムの拡大。工業化により生産力が飛躍的に向上した。
117	ナポレオン戦争	近代	1803	["戦争", "ヨーロッパ"]	1803年から1815年まで続いたヨーロッパ全域を巻き込んだ戦争。フランス皇帝の野望により各国が疲弊した。
118	化政文化	近世	1804	["文化", "庶民"]	1804年頃から江戸を中心に栄えた町人文化。浮世絵や歌舞伎、洒落本など庶民的な芸術が開花した。
119	リンカーン	近代	1809	["人物", "大統領", "奴隷解放"]	1809年生まれのアメリカ大統領。南北戦争を指導し、奴隷解放宣言を発して人種平等への道を開いた。
120	ウィーン会議	近代	1814	["会議", "平和", "保守反動"]	1814年から開催された戦後処理会議。正統主義と勢力均衡を原則に、ナポレオン以前の体制復活を図った。
121	井伊直弼	近代	1815	["人物", "幕末"]	1815年生まれの大老。日米修好通商条約を独断で調印し、反対派を安政の大獄で弾圧した。
122	ビスマルク	近代	1815	["人物", "政治家", "統一"]	1815年生まれのプロイセンの宰相。鉄血政策により3度の戦争に勝利し、1871年にドイツ統一を達成した。
123	マルクス	近代	1818	["人物", "思想家", "社会主義"]	1818年生まれのドイツの思想家。『資本論』で資本主義を分析し、労働者による革命を予言した。
124	天保の改革	近世	1830	["政治改革", "財政"]	1830年から水野忠邦が断行した幕政改革。株仲間解散や上知令などを強行したが、反発を招き失敗した。
125	坂本龍馬	近代	1836	["人物", "仲介"]	1836年生まれの土佐藩出身の志士。薩長同盟の仲介や大政奉還の実現に尽力した。
126	アヘン戦争	近代	1840	["戦争", "中国", "植民地", "日本関連"]	1840年から1842年にかけて清とイギリスが交えた紛争。南京条約により清が開国を余儀なくされた。
127	伊藤博文	近代	1841	["人物", "政治家"]	1841年生まれの政治家。初代内閣総理大臣として近代国家建設を主導し、大日本帝国憲法の起草にも関わった。
128	共産党宣言	近代	1848	["思想", "社会主義"]	1848年にマルクスとエンゲルスが発表した政治文書。「万国の労働者よ、団結せよ」と呼びかけた。
129	二月革命（1848年）	近代	1848	["革命", "フランス"]	1848年にパリで発生した民衆蜂起。七月王政を倒して共和制を樹立したが、短期間で終焉した。
130	ウィーン体制の崩壊	近代	1848	["政治", "変革"]	1848年の革命の波により保守的国際秩序が動揺。各地で民族運動や自由主義運動が高揚した。
131	尊王攘夷	近代	1850	["思想", "運動"]	1850年頃から高まった天皇尊崇と外国排斥を唱える思想運動。幕末の政治動向に大きな影響を与えた。
132	太平天国の乱	近代	1851	["反乱", "中国", "宗教"]	1851年から1864年まで続いた中国の大規模反乱。洪秀全が指導し、清朝の支配を脅かした。
133	ペリー来航	近世	1853	["外交", "開国"]	1853年にアメリカ東インド艦隊司令長官が浦賀に来航した出来事。開国を迫り、幕府に衝撃を与えた。
134	黒船	近世	1853	["外交", "技術"]	1853年にペリーが率いて来航した蒸気船。その巨大さと軍事力により、日本に開国の圧力をかけた。
135	クリミア戦争	近代	1853	["戦争", "ロシア"]	1853年から1856年にかけて黒海沿岸で展開された紛争。ロシアの南下政策に英仏が対抗した。
136	日米和親条約	近世	1854	["条約", "開国"]	1854年に締結された最初の開国条約。下田と箱館を開港し、鎖国体制の終焉を告げた。
137	原敬	現代	1856	["人物", "政治家"]	1856年生まれの政治家。平民宰相として1918年に組閣し、政党内閣の基礎を築いた。
138	日米修好通商条約	近世	1858	["条約", "不平等"]	1858年に調印された不平等条約。領事裁判権を認め関税自主権を失い、開港場が拡大された。
139	安政の大獄	近代	1858	["弾圧", "政治"]	1858年から1859年にかけて井伊直弼が断行した大規模弾圧。尊王攘夷派や一橋派を処罰した。
140	桜田門外の変	近代	1860	["事件", "テロ"]	1860年に井伊直弼が暗殺された事件。水戸浪士らが江戸城近くで襲撃し、幕府権威が失墜した。
141	イタリア統一	近代	1861	["統一", "民族主義"]	1861年にサルデーニャ王国を中心に達成された国家統合。カヴールやガリバルディが活躍した。
142	南北戦争	近代	1861	["戦争", "アメリカ", "奴隷制"]	1861年から1865年にかけてアメリカで戦われた内戦。奴隷制の存続をめぐり北部と南部が対立した。
143	薩長同盟	近代	1866	["同盟", "倒幕"]	1866年に薩摩藩と長州藩が結んだ軍事同盟。坂本龍馬の仲介により成立し、倒幕の原動力となった。
144	大政奉還	近代	1867	["政治", "転換"]	1867年に徳川慶喜が政権を朝廷に返上した政治決断。260年余り続いた幕府の終焉を告げた。
145	王政復古の大号令	近代	1868	["政治", "転換"]	1868年に発せられた新政府樹立の宣言。天皇親政への復帰を宣言し、幕府廃絶を決定した。
146	戊辰戦争	近代	1868	["戦争", "内戦"]	1868年から1869年にかけて展開された新政府と旧幕府勢力の内戦。鳥羽・伏見から函館まで各地で戦闘が続いた。
147	明治維新	近代	1868	["政治改革", "近代化"]	1868年から始まった近代化改革。封建制度を廃止し、欧米に倣った中央集権国家を建設した。
148	富国強兵	近代	1868	["政策", "スローガン"]	1868年の明治政府が掲げたスローガン。経済発展と軍事力強化により、列強に対抗できる国家を目指した。
149	殖産興業	近代	1868	["政策", "経済"]	1868年から推進された産業育成政策。官営工場の設立や技術導入により、近代産業の基盤を築いた。
150	版籍奉還	近代	1869	["政治改革", "中央集権"]	1869年に諸藩が領地と領民を朝廷に返上した措置。中央集権化への第一歩となった。
151	帝国主義	近代	1870	["政策", "植民地"]	1870年頃から列強が展開した侵略的な対外拡張政策。植民地獲得競争が激化し、国際緊張が高まった。
152	廃藩置県	近代	1871	["政治改革", "中央集権"]	1871年に全国の藩を廃止し府県に再編した改革。中央政府の直接統治を実現した。
153	ドイツ統一	近代	1871	["統一", "民族主義"]	1871年にプロイセン主導で達成された国家統合。ビスマルクの鉄血政策により、ドイツ帝国が成立した。
154	学制	近代	1872	["教育", "制度"]	1872年に公布された近代教育制度。全国に小学校を設置し、国民皆学を目指した。
155	徴兵令	近代	1873	["軍事", "制度"]	1873年に施行された国民皆兵制度。満20歳の男子に兵役義務を課し、近代的軍隊を創設した。
156	地租改正	近代	1873	["税制", "改革"]	1873年から実施された税制改革。地価の3%を現金で納める制度とし、政府の安定財源を確保した。
157	自由民権運動	近代	1874	["運動", "民主化"]	1874年の民撰議院設立建白書に始まる政治運動。国会開設や憲法制定を求めて全国に広がった。
158	アフリカ分割	近代	1884	["植民地", "帝国主義"]	1884年のベルリン会議を契機に激化した植民地化。列強がアフリカ大陸をほぼ完全に分割支配した。
159	大日本帝国憲法	近代	1889	["法律", "憲法"]	1889年に発布された日本初の近代憲法。天皇主権と議会制を組み合わせ、アジア初の立憲体制を確立した。
160	ヒトラー	現代	1889	["人物", "独裁者"]	1889年生まれのドイツの独裁者。1933年に政権を握り、侵略戦争とユダヤ人大量虐殺を引き起こした。
161	帝国議会	近代	1890	["政治", "議会"]	1890年に開設された立法機関。貴族院と衆議院の二院制で、予算や法律を審議した。
162	日清戦争	近代	1894	["戦争", "対外"]	1894年から1895年にかけて日本と清国が朝鮮半島をめぐって戦った紛争。下関条約で勝利を収めた。
163	下関条約	近代	1895	["条約", "勝利"]	1895年に日清戦争の講和として締結された条約。遼東半島や台湾の割譲、多額の賠償金を獲得した。
164	日露戦争	近代	1904	["戦争", "対外"]	1904年から1905年にかけて日本とロシアが満州・朝鮮をめぐって戦った紛争。旅順攻略や日本海海戦で勝利した。
165	ポーツマス条約	近代	1905	["条約", "勝利"]	1905年に日露戦争の講和として締結された条約。アメリカの仲介により、南樺太や旅順・大連の租借権を得た。
166	韓国併合	現代	1910	["外交", "植民地"]	1910年に大韓帝国を日本が統合した出来事。韓国併合条約により、植民地支配が始まった。
167	辛亥革命	現代	1911	["革命", "中国", "共和制"]	1911年に清朝を倒した民主化運動。孫文を臨時大総統とする中華民国が成立し、2000年以上続いた君主制が終焉した。
168	大正デモクラシー	現代	1912	["政治", "民主化"]	1912年頃から高まった民主主義的風潮。普通選挙や政党内閣の実現を求める運動が活発化した。
169	第一次世界大戦	現代	1914	["戦争", "国際"]	1914年から1918年まで続いた人類史上初の世界規模の総力戦。連合国と同盟国が激突し、未曾有の犠牲を出した。
170	サラエボ事件	近代	1914	["事件", "戦争の引き金"]	1914年にオーストリア皇太子が暗殺された事件。バルカン半島の民族対立が爆発し、第一次世界大戦の引き金となった。
171	ロシア革命	近代	1917	["革命", "社会主義"]	1917年に帝政ロシアが崩壊し、世界初の社会主義国家が誕生した変革。レーニン率いるボリシェヴィキが権力を掌握した。
172	ヴェルサイユ条約	現代	1919	["条約", "戦後処理"]	1919年に調印された第一次世界大戦の講和条約。ドイツに厳しい賠償と領土割譲を課した。
173	ファシズムの台頭	現代	1919	["政治", "独裁"]	1919年頃から始まった全体主義的政治運動の拡大。イタリアやドイツで独裁体制が確立された。
174	国際連盟	現代	1920	["国際機関", "平和"]	1920年に設立された史上初の国際平和機構。集団安全保障を目指したが、アメリカ不参加などで機能不全に陥った。
175	ワシントン会議	現代	1921	["外交", "軍縮", "国際"]	1921年から1922年にかけて開催された軍縮・太平洋問題協議。主力艦保有比率を定め、海軍軍備を制限した。
176	関東大震災	現代	1923	["災害", "社会"]	1923年に首都圏を襲ったマグニチュード7.9の巨大地震。10万人以上が犠牲となり、社会不安が拡大した。
177	普通選挙法	現代	1925	["法律", "民主化"]	1925年に制定された選挙権拡大法。納税額制限を撤廃し、満25歳以上の男子に選挙権を付与した。
178	治安維持法	現代	1925	["法律", "弾圧"]	1925年に制定された思想統制法。社会主義運動や自由主義思想を弾圧し、言論の自由を制限した。
179	世界恐慌	現代	1929	["経済", "国際"]	1929年のニューヨーク株式市場の大暴落に始まる経済危機。失業と貧困が世界中に広がり、ブロック経済化が進んだ。
180	満州事変	現代	1931	["戦争", "侵略"]	1931年に関東軍が起こした軍事行動。柳条湖事件を発端に満州全域を占領し、満州国を樹立した。
181	五・一五事件	現代	1932	["事件", "テロ"]	1932年に海軍青年将校らが首相官邸を襲撃したクーデタ未遂。犬養毅首相が暗殺され、政党政治が終焉した。
182	ナチス・ドイツ	現代	1933	["政治", "独裁"]	1933年にヒトラーが樹立した独裁体制。人種主義とファシズムを掲げ、侵略戦争と大量虐殺を引き起こした。
183	二・二六事件	現代	1936	["事件", "クーデタ"]	1936年に陸軍青年将校が起こした大規模クーデタ未遂。重臣らを襲撃したが、鎮圧され軍部の政治介入が強まった。
184	日中戦争	現代	1937	["戦争", "侵略"]	1937年の盧溝橋事件に始まる全面戦争。中国大陸で泥沼の戦闘が続き、日本の国力を消耗させた。
185	第二次世界大戦	現代	1941	["戦争", "敗戦"]	1941年に日本が真珠湾を攻撃し太平洋戦争に突入。1945年の敗戦まで、全世界を巻き込んだ総力戦が展開された。
186	真珠湾攻撃	現代	1941	["戦争", "開戦"]	1941年12月8日に日本軍がハワイの米海軍基地を奇襲した作戦。太平洋戦争の開戦となった。
