src_id	dst_id	relation_type	keyword	explanation
58	80	契機	教会批判の芽生え	ルネサンスの人文主義が宗教改革を準備
58	85	契機	人間中心主義	ルネサンスの人文主義が科学革命を準備
58	87	文化	人文主義と科学	ルネサンスの精神がガリレオに影響
59	57	対立	後醍醐天皇との対立	尊氏が新政に反旗
59	61	因果	南北朝時代	足利尊氏が北朝を擁立
59	62	因果	室町幕府樹立	足利尊氏が幕府を開く
59	65	同時代	足利将軍家	足利義満が尊氏の遺志を継ぐ
60	59	契機	武士の反発	建武の新政の失敗で足利尊氏台頭
60	61	因果	南北朝分裂	新政崩壊が南北朝時代を生む
60	62	契機	室町幕府成立	新政の失敗が室町幕府へ
61	62	同時代	分裂政権	南北朝と室町幕府の並立
61	65	因果	南北朝統一	足利義満が南北朝を統一
61	72	契機	権力闘争の継続	南北朝の混乱が応仁の乱へ
62	55	同時代	武家法の継承	御成敗式目を基盤とする
62	65	因果	全盛期	足利義満が室町幕府を確立
62	72	因果	応仁の乱	幕府の弱体化が応仁の乱を招く
62	73	因果	戦国時代へ	室町幕府の崩壊が戦国時代を生む
62	81	契機	統一への道	幕府の混乱が織田信長を生む
63	64	同時代	疫病と戦争	百年戦争中にペスト流行
63	67	同時代	英仏対立	百年戦争でジャンヌ・ダルク活躍
63	77	契機	王権の強化	百年戦争後に中央集権化が進む
64	36	因果	封建制の動揺	黒死病が封建制度を揺るがす
64	37	因果	労働力不足	ペストが荘園制を崩壊させる
64	58	契機	中世の終焉	ペストが中世社会を崩壊させルネサンスへ
64	63	契機	社会混乱	ペストが社会不安を増大し戦争へ
64	80	契機	教会権威の失墜	ペストが教会の無力さを露呈し宗教改革へ
64	210	同時代	パンデミック	黒死病とCOVID-19のパンデミックの類似性
65	61	因果	南北朝統一	義満が南北朝を統一
65	72	契機	権力闘争	義満死後の混乱が応仁の乱へ
65	73	同時代	文化的繁栄	義満の時代が戦国文化の基礎
66	39	因果	教会の分裂	教会分裂が教皇権を弱体化
66	80	契機	教会不信	教会分裂が宗教改革の遠因
67	63	契機	フランスの勝利	ジャンヌ・ダルクが百年戦争の転機
68	69	同時代	新大陸発見	大航海時代にコロンブスがアメリカ発見
68	71	同時代	インド航路発見	大航海時代にヴァスコ・ダ・ガマがインド到達
68	75	同時代	世界周航	大航海時代にマゼランが世界一周
68	77	契機	海外領土の獲得	大航海時代が絶対王政の富を増やす
68	78	契機	植民地経営	大航海時代が重商主義を生む
68	112	契機	植民地の独立	大航海時代の植民地がアメリカ独立
69	68	同時代	新大陸発見	コロンブスが大航海時代の象徴
70	74	同時代	ルネサンス芸術家	レオナルドとミケランジェロは同時代
70	85	文化	芸術と科学の融合	レオナルド・ダ・ヴィンチが科学革命に先駆
71	68	同時代	東方航路	ヴァスコ・ダ・ガマが大航海時代の象徴
72	62	因果	幕府の弱体化	応仁の乱で室町幕府が崩壊
72	73	因果	戦国時代の始まり	応仁の乱が戦国時代を招く
72	81	契機	下剋上の時代	応仁の乱が織田信長を生む
72	83	契機	統一への機運	混乱が豊臣秀吉の統一を促す
72	84	契機	天下統一	戦国の混乱が徳川家康の統一へ
73	81	因果	織田信長の台頭	戦国時代に信長が登場
73	83	因果	豊臣秀吉の統一	戦国時代を秀吉が統一
73	84	因果	徳川家康の統一	戦国時代を家康が終結
73	88	因果	関ヶ原の戦い	戦国の遺恨が関ヶ原へ
74	58	文化	芸術の開花	ミケランジェロがルネサンス芸術を代表
75	68	同時代	世界一周	マゼランが大航海時代の象徴
76	80	契機	改革の開始	ルターが宗教改革の口火を切る
76	86	対立	プロテスタントvsカトリック	ルターの改革に対抗宗教改革が対抗
76	87	対立	宗教vs科学	ルターの宗教改革とガリレオの科学は緊張関係
77	78	政策	経済政策	絶対王政が重商主義を推進
77	91	契機	王権の拡大	絶対王政の対立が三十年戦争の一因
77	94	同時代	フランス絶対王政	絶対王政でルイ14世が典型
77	114	対立	絶対王政への反発	絶対王政がフランス革命を引き起こす
78	68	政策	植民地獲得競争	重商主義が大航海時代を加速
78	77	政策	絶対王政の経済政策	重商主義が絶対王政を支える
78	109	契機	資本蓄積	重商主義が産業革命の資本を準備
79	80	契機	改革の拡大	カルヴァンが宗教改革を深化
79	86	対立	カルヴァン派vsカトリック	カルヴァン派に対抗宗教改革が対抗
80	76	契機	95ヶ条の論題	宗教改革でマルティン・ルターが先駆
80	77	契機	王権の強化	宗教改革後に王権が教皇権に勝利
80	79	同時代	プロテスタント諸派	宗教改革でカルヴァンも活躍
80	82	対立	新教vs旧教	宗教改革に対しイエズス会が対抗
80	86	対立	新旧教会の対立	宗教改革と対抗宗教改革は対立関係
80	91	契機	宗教対立の激化	宗教改革が三十年戦争を引き起こす
80	112	文化	プロテスタント精神	宗教改革の自由の精神がアメリカ独立に影響
81	73	因果	戦国統一の始まり	信長が戦国統一を開始
81	83	因果	秀吉の継承	信長死後に秀吉が統一
81	84	同時代	三英傑	信長・秀吉・家康の三者
81	88	契機	天下統一の基盤	信長の業績が関ヶ原へ
81	89	契機	江戸幕府の基礎	信長の政策が江戸幕府へ
82	68	同時代	海外布教	イエズス会が大航海時代に布教活動
82	80	対立	カトリックの反撃	イエズス会が宗教改革に対抗
82	86	政策	イエズス会の活動	イエズス会が対抗宗教改革の中心
83	81	因果	信長の継承	秀吉が信長の遺志を継ぐ
83	84	対立	秀吉vs家康	秀吉死後に家康が台頭
83	88	契機	関ヶ原の遠因	秀吉の死が関ヶ原を招く
83	89	契機	江戸幕府の基盤	秀吉の統一が家康の基礎
83	96	政策	鎖国の先駆	秀吉のキリスト教政策が鎖国へ
84	83	対立	秀吉との対立	秀吉死後に家康が天下取り
84	88	因果	関ヶ原の戦い	家康が関ヶ原で勝利
84	89	因果	江戸幕府樹立	家康が江戸幕府を開く
84	90	政策	幕藩体制確立	家康が幕藩体制を構築
84	96	政策	鎖国政策の基盤	家康の外交政策が鎖国へ
85	77	契機	合理的統治	科学革命が絶対王政の官僚制を支える
85	87	文化	天文学革命	科学革命でガリレオが地動説支持
85	97	文化	物理学革命	科学革命でニュートンが法則発見
85	100	契機	理性の重視	科学革命が啓蒙思想を生む
85	109	契機	技術革新	科学革命が産業革命の基礎を作る
86	80	対立	旧教の反撃	対抗宗教改革が宗教改革に対抗
86	82	政策	カトリック側の対応	対抗宗教改革でイエズス会が活動
87	80	対立	科学vs宗教	ガリレオが教会と対立し宗教改革に影響
87	85	文化	天文学の革新	ガリレオが科学革命を推進
88	84	因果	家康の勝利	家康が関ヶ原で天下統一
88	89	因果	江戸幕府成立	関ヶ原の勝利で江戸幕府樹立
88	90	因果	幕藩体制確立	関ヶ原後に幕藩体制構築
88	92	政策	大名統制	関ヶ原後に参勤交代制度
88	96	政策	外交統制	関ヶ原後に鎖国政策へ
89	90	政策	幕藩体制	江戸幕府が幕藩体制を確立
89	92	政策	参勤交代	江戸幕府が大名統制
89	96	政策	鎖国	江戸幕府が鎖国政策実施
89	133	契機	ペリー来航	幕府の危機
89	144	因果	大政奉還	江戸幕府の終焉
90	92	政策	大名統制	幕藩体制の一環として参勤交代
90	96	政策	外交統制	幕藩体制の一環として鎖国
90	144	因果	体制崩壊	幕藩体制の限界が大政奉還へ
91	76	契機	宗教対立	ルターの改革が三十年戦争の遠因
91	77	因果	国家主権の確立	三十年戦争が絶対王政を強化
91	80	因果	宗教対立の激化	宗教改革の対立が三十年戦争を引き起こす
91	86	契機	宗教戦争	対抗宗教改革の対立が三十年戦争へ
91	99	因果	宗教戦争の終結	三十年戦争後にウェストファリア条約
92	106	契機	財政悪化	参勤交代の負担が享保の改革を促す
92	113	契機	幕府財政	参勤交代が寛政の改革の背景
92	124	契機	改革の必要性	参勤交代が天保の改革を促す
93	89	同時代	幕府の危機	島原の乱が江戸幕府の統制を促す
93	96	因果	鎖国強化	島原の乱後に鎖国が徹底
93	98	契機	政治引き締め	島原の乱が幕府の宗教政策を強化
94	77	同時代	絶対王政の典型	ルイ14世が絶対王政の象徴
94	95	同時代	太陽王の異名	ルイ14世は太陽王と呼ばれた
94	114	対立	王の贅沢	ルイ14世の浪費がフランス革命の遠因
95	94	同時代	同一人物	太陽王はルイ14世の異名
96	93	因果	島原の乱	キリスト教禁止が島原の乱を招く
96	131	契機	尊王攘夷	鎖国の崩壊が尊王攘夷運動を生む
96	133	対立	ペリー来航	鎖国政策に対する外圧
96	134	対立	黒船の衝撃	鎖国の終焉
96	136	因果	開国	鎖国から日米和親条約へ
97	85	文化	物理学の確立	ニュートンが科学革命を完成
98	101	対立	改革の必要性	綱吉の失政が吉宗の改革へ
98	102	政策	生類憐みの令	綱吉が生類憐みの令を発布
98	106	契機	財政悪化	綱吉の政策が享保の改革を促す
99	77	契機	主権国家体制	ウェストファリア条約が絶対王政を強化
99	91	因果	戦争終結	ウェストファリア条約で三十年戦争終結
100	103	文化	三権分立論	啓蒙思想でモンテスキューが三権分立
100	104	文化	寛容の精神	啓蒙思想でヴォルテールが宗教批判
100	105	文化	社会契約論	啓蒙思想でルソーが社会契約論
100	109	契機	合理的思考	啓蒙思想が産業革命を思想的に支える
100	112	契機	民主主義思想	啓蒙思想がアメリカ独立革命に影響
100	114	契機	自由・平等思想	啓蒙思想がフランス革命に影響
100	133	文化	啓蒙思想の影響	啓蒙思想の自由・平等の理念が開国要求の背景に
101	106	因果	享保の改革	吉宗が享保の改革を実施
101	107	契機	次世代の政治	吉宗後に田沼意次が台頭
101	113	契機	改革の継承	吉宗の改革が寛政の改革へ
102	98	因果	綱吉の政策	綱吉が生類憐みの令を発布
102	101	契機	改革者の登場	吉宗が綱吉の政策を転換
102	106	契機	政策転換	生類憐みの令の反発が享保の改革へ
103	100	文化	政治思想	モンテスキューが啓蒙思想を代表
103	112	文化	三権分立	モンテスキューがアメリカ建国に影響
104	100	文化	批判精神	ヴォルテールが啓蒙思想を代表
105	100	文化	社会思想	ルソーが啓蒙思想を代表
105	114	文化	社会契約論	ルソーがフランス革命に影響
106	101	因果	徳川吉宗	吉宗が享保の改革を実施
106	107	契機	次の改革へ	享保の改革後に田沼意次登場
106	113	同時代	三大改革	享保・寛政・天保の改革
106	124	同時代	改革の連続性	享保の改革が天保の改革の先例
107	108	対立	松平定信の改革	田沼失脚で定信が台頭
107	113	契機	政策転換	田沼政治への反発が寛政の改革へ
107	118	同時代	経済発展	田沼時代に化政文化が発展
108	113	因果	寛政の改革	定信が寛政の改革を実施
108	115	同時代	改革者の系譜	定信と水野忠邦の改革
108	118	対立	文化統制	定信の統制に対する庶民文化の反発
109	111	文化	技術革新	産業革命で蒸気機関が発明される
109	116	因果	経済構造の変化	産業革命が資本主義の発展を生む
109	134	文化	蒸気機関の技術	産業革命の技術的成果である蒸気船が黒船として来航
109	142	契機	工業化の波及	産業革命がアメリカにも波及し南北戦争後加速
109	151	契機	工業力の拡大	産業革命が帝国主義を支える
109	204	同時代	技術革新	産業革命とIT革命の技術変革の共通性
110	114	対立	革命の理念vs独裁	ナポレオンがフランス革命の理念を裏切る
110	117	契機	ナポレオンの野望	ナポレオンがヨーロッパ征服戦争
110	120	対立	ナポレオンvs保守勢力	ナポレオンがウィーン会議で否定される
111	109	文化	動力革命	蒸気機関が産業革命を象徴
111	151	契機	輸送革命	蒸気機関が帝国主義の軍事・交通を支える
112	114	契機	革命の連鎖	アメリカ独立革命がフランス革命に影響
112	116	契機	自由主義経済	アメリカ独立が資本主義を促進
113	106	同時代	改革の連続性	享保・寛政・天保の改革
113	108	因果	松平定信	定信が寛政の改革を実施
113	118	同時代	文化統制	寛政の改革が化政文化を抑圧
113	124	同時代	三大改革	寛政の改革が天保の改革の先例
114	110	因果	革命の英雄	フランス革命の混乱でナポレオン台頭
114	116	契機	ブルジョワ革命	フランス革命が資本主義を促進
115	108	同時代	改革者の系譜	松平定信と水野忠邦
115	124	因果	天保の改革	忠邦が天保の改革を実施
115	133	契機	改革失敗	忠邦失脚後にペリー来航
116	123	契機	労働者問題	資本主義の矛盾をマルクスが批判
116	151	契機	市場拡大の必要	資本主義が帝国主義を生む
117	110	契機	ナポレオンの拡大	ナポレオンがナポレオン戦争を起こす
117	120	因果	戦後処理	ナポレオン戦争後にウィーン会議
117	141	契機	ナポレオン支配への反発	ナポレオン戦争がイタリア民族意識を高める
117	153	契機	ナポレオン支配への反発	ナポレオン戦争がドイツ民族意識を高める
118	113	対立	改革vs文化	化政文化が寛政の改革に反発
118	124	契機	文化統制	化政文化の繁栄が天保の改革を促す
118	133	同時代	開国前夜	化政文化がペリー来航前の繁栄
119	116	政策	自由労働力	リンカーンの奴隷解放が資本主義を促進
119	142	政策	奴隷解放	リンカーンが南北戦争で奴隷解放
120	114	対立	保守反動	ウィーン会議がフランス革命を否定
120	129	因果	反動体制への反発	ウィーン会議の保守反動が二月革命を招く
120	130	因果	反動体制の確立	ウィーン会議がウィーン体制を作る
120	203	同時代	ヨーロッパ統合の系譜	ウィーン会議からEU発足までの統合の歴史
121	131	対立	尊王攘夷vs幕府	井伊が尊王攘夷派を弾圧
121	138	因果	条約調印	井伊が日米修好通商条約調印
121	139	因果	安政の大獄	井伊が反対派を弾圧
121	140	因果	桜田門外の変	井伊が暗殺される
121	143	契機	倒幕運動	井伊の死後に薩長同盟へ
122	141	同時代	統一政策	ビスマルクとイタリア統一は同時代
122	151	政策	植民地政策	ビスマルクが帝国主義政策を推進
122	153	政策	鉄血政策	ビスマルクがドイツ統一を実現
123	116	対立	社会主義vs資本主義	マルクスが資本主義を批判
123	128	文化	社会主義思想	マルクスが共産党宣言を発表
123	171	契機	社会主義思想	マルクス思想がロシア革命に影響
124	106	同時代	三大改革	享保・寛政・天保の改革
124	115	因果	水野忠邦	忠邦が天保の改革を実施
124	131	契機	幕府の弱体化	天保の改革失敗が尊王攘夷運動へ
124	133	契機	外圧への対応	天保の改革の失敗がペリー来航の危機へ
125	143	因果	薩長同盟仲介	龍馬が薩長同盟を仲介
125	144	契機	大政奉還の提案	龍馬が大政奉還を提案
125	147	契機	明治維新の準備	龍馬が明治維新を準備
126	132	因果	清朝の弱体化	アヘン戦争敗北が大規模反乱を招く
126	133	契機	アジア進出の波	アヘン戦争での欧米勝利がアジア進出を加速、ペリー来航へ
126	151	同時代	アジア侵略	アヘン戦争も帝国主義の一環
126	167	因果	列強の侵略	アヘン戦争後の半植民地化が革命の背景に
126	169	契機	アジア対立	アヘン戦争が列強対立の始まり
127	157	対立	民権派との対立	伊藤が自由民権運動と対立
127	159	因果	憲法起草	伊藤が大日本帝国憲法を起草
127	161	因果	初代首相	伊藤が初代内閣総理大臣
127	166	因果	韓国併合	伊藤が韓国統監として韓国併合を推進
128	116	対立	革命の呼びかけ	共産党宣言が資本主義打倒を訴える
128	171	契機	革命の理論	共産党宣言がロシア革命の理論的基礎
129	120	因果	ウィーン体制の崩壊	二月革命でウィーン体制が崩れる
129	141	契機	民族運動の高揚	二月革命がイタリア統一を促進
129	153	契機	民族運動の高揚	二月革命がドイツ統一を促進
130	120	因果	体制の崩壊	ウィーン体制崩壊はウィーン会議の否定
130	129	同時代	自由主義革命	ウィーン体制崩壊と二月革命は同じ
130	141	因果	自由主義の波及	ウィーン体制崩壊でイタリア統一加速
130	153	因果	自由主義の波及	ウィーン体制崩壊でドイツ統一加速
131	125	同時代	坂本龍馬の活動	龍馬が尊王攘夷派を調整
131	143	因果	薩長同盟	尊王攘夷派が薩長同盟を結成
131	144	契機	大政奉還	尊王攘夷運動が大政奉還を促す
131	145	因果	王政復古	尊王攘夷が王政復古の大号令へ
131	146	因果	戊辰戦争	尊王攘夷派が戊辰戦争を戦う
132	167	契機	清朝崩壊への道	太平天国の乱が清朝の弱体化を加速
